gameid,date,home_team,away_team,goal,primary_assist,secondary_assist,game_situation,game_situation_general,gf_team,gf_team_game_number,ga_team,ga_team_game_number,GF_names,GA_names,GF_skaters,GA_skaters,GF1_name,GF2_name,GF3_name,GF4_name,GF5_name,GF6_name,GA1_name,GA2_name,GA3_name,GA4_name,GA5_name,GA6_name
441813,2019-09-17,IK Oskarshamn,Leksands IF,Nicklas Heinerö,Jesper Dahlroth,Gustaf Franzén,5v5,EV,IK Oskarshamn,2,Leksands IF,2,Jesper DahlrothNicklas HeineröGustaf FranzénJohan AlmTex WilliamssonGKFilip Sveningsson,Calle SjälinLucas NordsäterJon KnutsDavid RundqvistJanne JuvonenGKMartin Karlsson,5,5,Jesper Dahlroth,Nicklas Heinerö,Gustaf Franzén,Johan Alm,Tex WilliamssonGK,Filip Sveningsson,Calle Själin,Lucas Nordsäter,Jon Knuts,David Rundqvist,Janne JuvonenGK,Martin Karlsson
441813,2019-09-17,IK Oskarshamn,Leksands IF,John Dahlström,,,4v6ENG,ENG,IK Oskarshamn,2,Leksands IF,2,Jesper DahlrothGustaf FranzénJohn DahlströmOskar NilssonTex WilliamssonGKNA,Daniel GunnarssonThomas Valkvae-OlsenPatrik ZackrissonMarek HrivikJonas AhnelövMartin Karlsson,4,6,Jesper Dahlroth,Gustaf Franzén,John Dahlström,Oskar Nilsson,Tex WilliamssonGK,NA,Daniel Gunnarsson,Thomas Valkvae-Olsen,Patrik Zackrisson,Marek Hrivik,Jonas Ahnelöv,Martin Karlsson
441844,2019-09-28,Rögle BK,Leksands IF,Nils Höglander,Dominik Bokk,Mattias Sjögren,5v5,EV,Rögle BK,6,Leksands IF,6,Daniel BertovMattias SjögrenNils HöglanderRoman WillGKDominik BokkEric Gelinas,Calle SjälinFilip JohanssonJon KnutsDavid RundqvistJanne JuvonenGKMartin Karlsson,5,5,Daniel Bertov,Mattias Sjögren,Nils Höglander,Roman WillGK,Dominik Bokk,Eric Gelinas,Calle Själin,Filip Johansson,Jon Knuts,David Rundqvist,Janne JuvonenGK,Martin Karlsson
441844,2019-09-28,Rögle BK,Leksands IF,Taylor Matson,Leon Bristedt,Mattias Sjögren,5v5,EV,Rögle BK,6,Leksands IF,6,Kodie CurranMattias SjögrenTaylor MatsonNiklas HanssonRoman WillGKLeon Bristedt,August BergDaniel Olsson-TrkuljaAndré HultJanne JuvonenGKJonas AhnelövMartin Karlsson,5,5,Kodie Curran,Mattias Sjögren,Taylor Matson,Niklas Hansson,Roman WillGK,Leon Bristedt,August Berg,Daniel Olsson-Trkulja,André Hult,Janne JuvonenGK,Jonas Ahnelöv,Martin Karlsson
441850,2019-10-03,Leksands IF,Frölunda HC,Johan Sundström,Lucas Raymond,Patrik Carlsson,5v5,EV,Frölunda HC,7,Leksands IF,7,Karl StolleryLucas RaymondJohan SundströmJohan MattssonGKTheodor LennströmPatrik Carlsson,Calle SjälinFilip JohanssonJon KnutsOskar LangAxel BrageGKMartin Karlsson,5,5,Karl Stollery,Lucas Raymond,Johan Sundström,Johan MattssonGK,Theodor Lennström,Patrik Carlsson,Calle Själin,Filip Johansson,Jon Knuts,Oskar Lang,Axel BrageGK,Martin Karlsson
441860,2019-10-10,Färjestad BK,Leksands IF,Sebastian Erixon,Michael Lindqvist,Marcus Nilsson,5v5,EV,Färjestad BK,9,Leksands IF,9,Marcus NilssonGustav RydahlLinus ArnessonMichael LindqvistSebastian ErixonArvid HolmGK,August BergLucas NordsäterJon KnutsMattias RitolaJanne JuvonenGKMartin Karlsson,5,5,Marcus Nilsson,Gustav Rydahl,Linus Arnesson,Michael Lindqvist,Sebastian Erixon,Arvid HolmGK,August Berg,Lucas Nordsäter,Jon Knuts,Mattias Ritola,Janne JuvonenGK,Martin Karlsson
441877,2019-10-17,Luleå HF,Leksands IF,Petter Emanuelsson,Noel Gunler,Jack Connolly,5v5,EV,Luleå HF,11,Leksands IF,11,Noel GunlerPetter EmanuelssonJack ConnollyJesper SellgrenJoel LassinanttiGKDaniel Sondell,Johan FranssonJon KnutsSebastian WännströmMattias GöranssonJanne JuvonenGKMartin Karlsson,5,5,Noel Gunler,Petter Emanuelsson,Jack Connolly,Jesper Sellgren,Joel LassinanttiGK,Daniel Sondell,Johan Fransson,Jon Knuts,Sebastian Wännström,Mattias Göransson,Janne JuvonenGK,Martin Karlsson
441877,2019-10-17,Luleå HF,Leksands IF,Jonas Berglund,Juhani Tyrväinen,,4v5,SH,Luleå HF,11,Leksands IF,11,Jonas BerglundJuhani TyrväinenOscar EngsundJoel LassinanttiGKPontus SjälinNA,Johan FranssonOskar LangPatrik ZackrissonMarek HrivikJanne JuvonenGKMartin Karlsson,4,5,Jonas Berglund,Juhani Tyrväinen,Oscar Engsund,Joel LassinanttiGK,Pontus Själin,NA,Johan Fransson,Oskar Lang,Patrik Zackrisson,Marek Hrivik,Janne JuvonenGK,Martin Karlsson
441858,2019-10-31,Växjö Lakers HC,Leksands IF,Linus Högberg,,,5v5,EV,Växjö Lakers HC,15,Leksands IF,15,Linus HögbergIlari MelartEmil PetterssonJakob Forsbacka-KarlssonBrendan ShinniminViktor AndrénGK,Johan FranssonFredrik ForsbergJon KnutsMattias KarlssonAxel BrageGKMartin Karlsson,5,5,Linus Högberg,Ilari Melart,Emil Pettersson,Jakob Forsbacka-Karlsson,Brendan Shinnimin,Viktor AndrénGK,Johan Fransson,Fredrik Forsberg,Jon Knuts,Mattias Karlsson,Axel BrageGK,Martin Karlsson
441930,2019-11-21,Frölunda HC,Leksands IF,Mats Rosseli Olsen,Julius Bergman,Nicklas Lasu,5v5,EV,Frölunda HC,19,Leksands IF,19,Nicklas LasuTheodor LennströmNiklas RubinGKRhett RakhshaniMats Rosseli OlsenJulius Bergman,Johan FranssonFredrik ForsbergDaniel Olsson-TrkuljaJanne JuvonenGKJonas AhnelövMartin Karlsson,5,5,Nicklas Lasu,Theodor Lennström,Niklas RubinGK,Rhett Rakhshani,Mats Rosseli Olsen,Julius Bergman,Johan Fransson,Fredrik Forsberg,Daniel Olsson-Trkulja,Janne JuvonenGK,Jonas Ahnelöv,Martin Karlsson
441930,2019-11-21,Frölunda HC,Leksands IF,Patrik Carlsson,Joel Mustonen,Nicklas Lasu,5v5,EV,Frölunda HC,19,Leksands IF,19,Nicklas LasuTheodor LennströmJoel MustonenNiklas RubinGKJulius BergmanPatrik Carlsson,Johan FranssonDaniel GunnarssonAndré HultThomas Valkvae-OlsenJanne JuvonenGKMartin Karlsson,5,5,Nicklas Lasu,Theodor Lennström,Joel Mustonen,Niklas RubinGK,Julius Bergman,Patrik Carlsson,Johan Fransson,Daniel Gunnarsson,André Hult,Thomas Valkvae-Olsen,Janne JuvonenGK,Martin Karlsson
441942,2019-11-23,Leksands IF,Luleå HF,Robin Kovacs,Juhani Tyrväinen,Einar Emanuelsson,5v5,EV,Luleå HF,20,Leksands IF,20,Einar EmanuelssonJuhani TyrväinenNils LundkvistErik GustafssonDavid RautioGKRobin Kovacs,Lucas NordsäterFilip JohanssonJon KnutsDavid RundqvistAxel BrageGKMartin Karlsson,5,5,Einar Emanuelsson,Juhani Tyrväinen,Nils Lundkvist,Erik Gustafsson,David RautioGK,Robin Kovacs,Lucas Nordsäter,Filip Johansson,Jon Knuts,David Rundqvist,Axel BrageGK,Martin Karlsson
441956,2019-11-30,Leksands IF,Rögle BK,Daniel Zaar,Ted Brithén,Leon Bristedt,5v5,EV,Rögle BK,23,Leksands IF,22,Kodie CurranNiklas HanssonRoman WillGKLeon BristedtDaniel ZaarTed Brithén,Fredrik ForsbergJon KnutsMattias GöranssonAxel BrageGKJonas AhnelövMartin Karlsson,5,5,Kodie Curran,Niklas Hansson,Roman WillGK,Leon Bristedt,Daniel Zaar,Ted Brithén,Fredrik Forsberg,Jon Knuts,Mattias Göransson,Axel BrageGK,Jonas Ahnelöv,Martin Karlsson
441970,2019-12-07,Skellefteå AIK,Leksands IF,Jonathan Pudas,Adam Pettersson,Andreas Wingerli,5v5,EV,Skellefteå AIK,24,Leksands IF,24,Niclas BurströmAdam PetterssonAndreas WingerliJesper FrödénGustaf LindvallGKJonathan Pudas,Lucas NordsäterFredrik ForsbergJon KnutsJanne JuvonenGKPhilip SamuelssonMartin Karlsson,5,5,Niclas Burström,Adam Pettersson,Andreas Wingerli,Jesper Frödén,Gustaf LindvallGK,Jonathan Pudas,Lucas Nordsäter,Fredrik Forsberg,Jon Knuts,Janne JuvonenGK,Philip Samuelsson,Martin Karlsson
441976,2019-12-17,Örebro HK,Leksands IF,Aaron Irving,Joonas Rask,Gustav Backström,5v5,EV,Örebro HK,25,Leksands IF,25,Gustav BackströmMax LindholmDaniel Muzito-BagendaAaron IrvingDominik FurchGKJoonas Rask,Marcus KarlbergJon KnutsMattias GöranssonAxel BrageGKJonas AhnelövMartin Karlsson,5,5,Gustav Backström,Max Lindholm,Daniel Muzito-Bagenda,Aaron Irving,Dominik FurchGK,Joonas Rask,Marcus Karlberg,Jon Knuts,Mattias Göransson,Axel BrageGK,Jonas Ahnelöv,Martin Karlsson
441976,2019-12-17,Örebro HK,Leksands IF,Mathias Bromé,Ryan Stoa,,5v6ENG,ENG,Örebro HK,25,Leksands IF,25,Rasmus RissanenMarcus WeinstockDominik FurchGKKristian NäkyväMathias BroméRyan Stoa,Oskar LangDaniel GunnarssonPatrik ZackrissonPhilip SamuelssonSpencer AbbottMartin Karlsson,5,6,Rasmus Rissanen,Marcus Weinstock,Dominik FurchGK,Kristian Näkyvä,Mathias Bromé,Ryan Stoa,Oskar Lang,Daniel Gunnarsson,Patrik Zackrisson,Philip Samuelsson,Spencer Abbott,Martin Karlsson
441984,2019-12-19,Leksands IF,Färjestad BK,Gustav Rydahl,Sebastian Erixon,Marcus Nilsson,5v5,EV,Färjestad BK,25,Leksands IF,26,Marcus NilssonGustav RydahlLinus ArnessonMichael LindqvistMarkus SvenssonGKSebastian Erixon,Filip JohanssonMarcus KarlbergPatrik ZackrissonMattias GöranssonAxel BrageGKMartin Karlsson,5,5,Marcus Nilsson,Gustav Rydahl,Linus Arnesson,Michael Lindqvist,Markus SvenssonGK,Sebastian Erixon,Filip Johansson,Marcus Karlberg,Patrik Zackrisson,Mattias Göransson,Axel BrageGK,Martin Karlsson
442104,2020-01-16,Leksands IF,Örebro HK,Lukas Pilö,Jordan Boucher,Christopher Mastomäki,5v5,EV,Örebro HK,33,Leksands IF,33,Lukas PilöChristopher MastomäkiGlenn GustafssonDominik FurchGKJordan BoucherKristian Näkyvä,Fredrik ForsbergJon KnutsMattias GöranssonJanne JuvonenGKJonas AhnelövMartin Karlsson,5,5,Lukas Pilö,Christopher Mastomäki,Glenn Gustafsson,Dominik FurchGK,Jordan Boucher,Kristian Näkyvä,Fredrik Forsberg,Jon Knuts,Mattias Göransson,Janne JuvonenGK,Jonas Ahnelöv,Martin Karlsson
442110,2020-01-18,IK Oskarshamn,Leksands IF,Filiph Engsund,Arsi Piispanen,Simon Despres,5v5,EV,IK Oskarshamn,34,Leksands IF,34,Simon DespresArsi PiispanenTyler KelleherFiliph EngsundOskar NilssonTex WilliamssonGK,Oskar LangDaniel GunnarssonMattias KarlssonPatrik ZackrissonJanne JuvonenGKMartin Karlsson,5,5,Simon Despres,Arsi Piispanen,Tyler Kelleher,Filiph Engsund,Oskar Nilsson,Tex WilliamssonGK,Oskar Lang,Daniel Gunnarsson,Mattias Karlsson,Patrik Zackrisson,Janne JuvonenGK,Martin Karlsson
441858,2019-10-31,Växjö Lakers HC,Leksands IF,Mattias Karlsson,,,5v6ENG,ENG,Leksands IF,15,Växjö Lakers HC,15,Johan FranssonJon KnutsDaniel Olsson-TrkuljaMattias KarlssonLinus PerssonAxel BrageGK,Linus HögbergRichard GyngeIlari MelartEmil PetterssonRoman HorakBrendan Shinnimin,5,6,Johan Fransson,Jon Knuts,Daniel Olsson-Trkulja,Mattias Karlsson,Linus Persson,Axel BrageGK,Linus Högberg,Richard Gynge,Ilari Melart,Emil Pettersson,Roman Horak,Brendan Shinnimin
441969,2019-12-07,IK Oskarshamn,Örebro HK,Glenn Gustafsson,Linus Öberg,,5v6ENG,ENG,Örebro HK,24,IK Oskarshamn,24,Rasmus RissanenLinus ÖbergChristopher MastomäkiGlenn GustafssonDominik FurchGKKristian Näkyvä,Mathew BodieNicklas HeineröJoakim ThelinPontus NetterbergJohan JohnssonJohannes Salmonsson,5,6,Rasmus Rissanen,Linus Öberg,Christopher Mastomäki,Glenn Gustafsson,Dominik FurchGK,Kristian Näkyvä,Mathew Bodie,Nicklas Heinerö,Joakim Thelin,Pontus Netterberg,Johan Johnsson,Johannes Salmonsson
441813,2019-09-17,IK Oskarshamn,Leksands IF,Markus Modigs,,,5v6ENG,ENG,IK Oskarshamn,2,Leksands IF,2,Pontus NetterbergJohn DahlströmMarkus ModigsOskar NilssonEmil WahlbergTex WilliamssonGK,Calle SjälinMattias RitolaSebastian WännströmLinus PerssonPatrik ZackrissonMarek Hrivik,5,6,Pontus Netterberg,John Dahlström,Markus Modigs,Oskar Nilsson,Emil Wahlberg,Tex WilliamssonGK,Calle Själin,Mattias Ritola,Sebastian Wännström,Linus Persson,Patrik Zackrisson,Marek Hrivik
441944,2019-11-28,Djurgårdens IF,Leksands IF,Manuel Ågren,Jesper Pettersson,,4v6ENG,ENG,Djurgårdens IF,22,Leksands IF,21,Tom WandellJesper PetterssonRobin NorellManuel ÅgrenNiklas SvedbergGKNA,Jon KnutsDaniel Olsson-TrkuljaMattias KarlssonLinus PerssonPatrik ZackrissonMarek Hrivik,4,6,Tom Wandell,Jesper Pettersson,Robin Norell,Manuel Ågren,Niklas SvedbergGK,NA,Jon Knuts,Daniel Olsson-Trkulja,Mattias Karlsson,Linus Persson,Patrik Zackrisson,Marek Hrivik
441860,2019-10-10,Färjestad BK,Leksands IF,Linus Johansson,Daniel Viksten,,5v6ENG,ENG,Färjestad BK,9,Leksands IF,9,Daniel VikstenVictor EjdsellLinus ArnessonSebastian ErixonLinus JohanssonArvid HolmGK,Johan FranssonJon KnutsSebastian WännströmPatrik ZackrissonMarek HrivikMattias Göransson,5,6,Daniel Viksten,Victor Ejdsell,Linus Arnesson,Sebastian Erixon,Linus Johansson,Arvid HolmGK,Johan Fransson,Jon Knuts,Sebastian Wännström,Patrik Zackrisson,Marek Hrivik,Mattias Göransson
441844,2019-09-28,Rögle BK,Leksands IF,Dennis Everberg,Leon Bristedt,Eric Gelinas,5v5,EV,Rögle BK,6,Leksands IF,6,Daniel BertovDennis EverbergAnton BengtssonRoman WillGKLeon BristedtEric Gelinas,August BergJohan FranssonMattias RitolaAndré HultLinus PerssonJanne JuvonenGK,5,5,Daniel Bertov,Dennis Everberg,Anton Bengtsson,Roman WillGK,Leon Bristedt,Eric Gelinas,August Berg,Johan Fransson,Mattias Ritola,André Hult,Linus Persson,Janne JuvonenGK
441907,2019-10-05,Leksands IF,Växjö Lakers HC,Roman Horak,Richard Gynge,,5v5,EV,Växjö Lakers HC,8,Leksands IF,8,Tim ErixonRichard GyngeRoman HorakPontus HolmbergViktor FasthGKLudvig Nilsson,August BergLucas NordsäterOskar LangSebastian WännströmLinus PerssonJanne JuvonenGK,5,5,Tim Erixon,Richard Gynge,Roman Horak,Pontus Holmberg,Viktor FasthGK,Ludvig Nilsson,August Berg,Lucas Nordsäter,Oskar Lang,Sebastian Wännström,Linus Persson,Janne JuvonenGK
441860,2019-10-10,Färjestad BK,Leksands IF,Linus Johansson,Per Åslund,Victor Ejdsell,5v5,EV,Färjestad BK,9,Leksands IF,9,Victor EjdsellPer ÅslundLinus ArnessonSebastian ErixonLinus JohanssonArvid HolmGK,Calle SjälinFilip JohanssonOskar LangMattias RitolaLinus PerssonJanne JuvonenGK,5,5,Victor Ejdsell,Per Åslund,Linus Arnesson,Sebastian Erixon,Linus Johansson,Arvid HolmGK,Calle Själin,Filip Johansson,Oskar Lang,Mattias Ritola,Linus Persson,Janne JuvonenGK
441860,2019-10-10,Färjestad BK,Leksands IF,Marcus Nilsson,Johan Ryno,,5v5,EV,Färjestad BK,9,Leksands IF,9,Marcus NilssonLukas Ekeståhl-JonssonMichael LindqvistJohan RynoVojtech MozikArvid HolmGK,Johan FranssonDaniel Olsson-TrkuljaThomas Valkvae-OlsenMarek HrivikMattias GöranssonJanne JuvonenGK,5,5,Marcus Nilsson,Lukas Ekeståhl-Jonsson,Michael Lindqvist,Johan Ryno,Vojtech Mozik,Arvid HolmGK,Johan Fransson,Daniel Olsson-Trkulja,Thomas Valkvae-Olsen,Marek Hrivik,Mattias Göransson,Janne JuvonenGK
441860,2019-10-10,Färjestad BK,Leksands IF,Sebastian Erixon,Linus Arnesson,Jesper Olofsson,5v5,EV,Färjestad BK,9,Leksands IF,9,Victor EjdsellLinus ArnessonSebastian ErixonJarno KärkiArvid HolmGKJesper Olofsson,August BergLucas NordsäterMattias RitolaThomas Valkvae-OlsenMarek HrivikJanne JuvonenGK,5,5,Victor Ejdsell,Linus Arnesson,Sebastian Erixon,Jarno Kärki,Arvid HolmGK,Jesper Olofsson,August Berg,Lucas Nordsäter,Mattias Ritola,Thomas Valkvae-Olsen,Marek Hrivik,Janne JuvonenGK
441871,2019-10-12,Leksands IF,Linköping HC,Broc Little,Jonas Holös,Patrik Lundh,5v5,EV,Linköping HC,10,Leksands IF,10,Adam HelewkaBroc LittleJonas GustavssonGKEddie LarssonAnton MylläriPatrik Lundh,Alexander LundqvistJohan FranssonMattias RitolaAndré HultThomas Valkvae-OlsenJanne JuvonenGK,5,5,Adam Helewka,Broc Little,Jonas GustavssonGK,Eddie Larsson,Anton Mylläri,Patrik Lundh,Alexander Lundqvist,Johan Fransson,Mattias Ritola,André Hult,Thomas Valkvae-Olsen,Janne JuvonenGK
441877,2019-10-17,Luleå HF,Leksands IF,Einar Emanuelsson,Jesper Sellgren,Juhani Tyrväinen,5v5,EV,Luleå HF,11,Leksands IF,11,Einar EmanuelssonJuhani TyrväinenJesper SellgrenNils LundkvistJoel LassinanttiGKRobin Kovacs,Lucas NordsäterJohan FranssonMattias RitolaLinus PerssonPatrik ZackrissonJanne JuvonenGK,5,5,Einar Emanuelsson,Juhani Tyrväinen,Jesper Sellgren,Nils Lundkvist,Joel LassinanttiGK,Robin Kovacs,Lucas Nordsäter,Johan Fransson,Mattias Ritola,Linus Persson,Patrik Zackrisson,Janne JuvonenGK
441877,2019-10-17,Luleå HF,Leksands IF,Isac Brännström,Arttu Ilomäki,,5v5,EV,Luleå HF,11,Leksands IF,11,Jonas BerglundIsac BrännströmNils LundkvistErik GustafssonJoel LassinanttiGKArttu Ilomäki,August BergOskar LangThomas Valkvae-OlsenPatrik ZackrissonMattias GöranssonJanne JuvonenGK,5,5,Jonas Berglund,Isac Brännström,Nils Lundkvist,Erik Gustafsson,Joel LassinanttiGK,Arttu Ilomäki,August Berg,Oskar Lang,Thomas Valkvae-Olsen,Patrik Zackrisson,Mattias Göransson,Janne JuvonenGK
441893,2019-10-24,Leksands IF,Örebro HK,Daniel Muzito-Bagenda,Viktor Lodin,Gustav Backström,5v5,EV,Örebro HK,13,Leksands IF,13,Rasmus RissanenViktor LodinDaniel Muzito-BagendaLinus ÖbergDominik FurchGKKristian Näkyvä,Filip JohanssonDaniel Olsson-TrkuljaAndré HultLinus PerssonMattias GöranssonJanne JuvonenGK,5,5,Rasmus Rissanen,Viktor Lodin,Daniel Muzito-Bagenda,Linus Öberg,Dominik FurchGK,Kristian Näkyvä,Filip Johansson,Daniel Olsson-Trkulja,André Hult,Linus Persson,Mattias Göransson,Janne JuvonenGK
441930,2019-11-21,Frölunda HC,Leksands IF,Viktor Ekbom,Simon Hjalmarsson,,5v5,EV,Frölunda HC,19,Leksands IF,19,Viktor EkbomTheodor LennströmNiklas RubinGKJacob PetersonSimon HjalmarssonRyan Lasch,Calle SjälinJohan FranssonOskar LangSebastian WännströmAndré HultJanne JuvonenGK,5,5,Viktor Ekbom,Theodor Lennström,Niklas RubinGK,Jacob Peterson,Simon Hjalmarsson,Ryan Lasch,Calle Själin,Johan Fransson,Oskar Lang,Sebastian Wännström,André Hult,Janne JuvonenGK
441970,2019-12-07,Skellefteå AIK,Leksands IF,Oscar Möller,Philip Broberg,Jacob Olofsson,5v5,EV,Skellefteå AIK,24,Leksands IF,24,Philip BrobergPetter GranbergTuomas KiiskinenGustaf LindvallGKJacob OlofssonOscar Möller,Daniel GunnarssonDaniel Olsson-TrkuljaMattias KarlssonThomas Valkvae-OlsenMarek HrivikJanne JuvonenGK,5,5,Philip Broberg,Petter Granberg,Tuomas Kiiskinen,Gustaf LindvallGK,Jacob Olofsson,Oscar Möller,Daniel Gunnarsson,Daniel Olsson-Trkulja,Mattias Karlsson,Thomas Valkvae-Olsen,Marek Hrivik,Janne JuvonenGK
442011,2020-01-04,Leksands IF,Skellefteå AIK,Oscar Möller,Linus Lindström,,5v5,EV,Skellefteå AIK,30,Leksands IF,30,Filip BerglundLinus LindströmTuomas KiiskinenPatrik NorénGustaf LindvallGKOscar Möller,Filip JohanssonJohan FranssonDaniel Olsson-TrkuljaSebastian WännströmAndré HultJanne JuvonenGK,5,5,Filip Berglund,Linus Lindström,Tuomas Kiiskinen,Patrik Norén,Gustaf LindvallGK,Oscar Möller,Filip Johansson,Johan Fransson,Daniel Olsson-Trkulja,Sebastian Wännström,André Hult,Janne JuvonenGK
442110,2020-01-18,IK Oskarshamn,Leksands IF,Filip Sveningsson,Filiph Engsund,Emil Wahlberg,5v5,EV,IK Oskarshamn,34,Leksands IF,34,Pontus NetterbergHenrik NilssonFiliph EngsundEmil WahlbergTex WilliamssonGKFilip Sveningsson,Johan FranssonDaniel Olsson-TrkuljaMattias KarlssonThomas Valkvae-OlsenLinus PerssonJanne JuvonenGK,5,5,Pontus Netterberg,Henrik Nilsson,Filiph Engsund,Emil Wahlberg,Tex WilliamssonGK,Filip Sveningsson,Johan Fransson,Daniel Olsson-Trkulja,Mattias Karlsson,Thomas Valkvae-Olsen,Linus Persson,Janne JuvonenGK
441827,2019-09-21,IF Malmö Redhawks,Luleå HF,Frederik Storm,Fredrik Händemark,Tobias Ekberg,5v5,EV,IF Malmö Redhawks,3,Luleå HF,4,Frederik StormLars BryggmanTobias EkbergFredrik HändemarkOscar AlsenfeltGKAdam Ollas Mattsson,Einar EmanuelssonCarl MattssonJack ConnollyNils LundkvistErik GustafssonDavid RautioGK,5,5,Frederik Storm,Lars Bryggman,Tobias Ekberg,Fredrik Händemark,Oscar AlsenfeltGK,Adam Ollas Mattsson,Einar Emanuelsson,Carl Mattsson,Jack Connolly,Nils Lundkvist,Erik Gustafsson,David RautioGK
441830,2019-09-21,Växjö Lakers HC,Skellefteå AIK,Pontus Holmberg,Fredrik Karlström,Roman Horak,5v5,EV,Växjö Lakers HC,4,Skellefteå AIK,4,Matthew BodieRoman HorakPontus HolmbergViktor AndrénGKDavid BernhardtFredrik Karlström,Niclas BurströmFilip BerglundTom PyattAdam PetterssonAndreas WingerliGustaf LindvallGK,5,5,Matthew Bodie,Roman Horak,Pontus Holmberg,Viktor AndrénGK,David Bernhardt,Fredrik Karlström,Niclas Burström,Filip Berglund,Tom Pyatt,Adam Pettersson,Andreas Wingerli,Gustaf LindvallGK
441849,2019-10-03,Skellefteå AIK,Linköping HC,Olle Lycksell,Anton Mylläri,,5v5,EV,Linköping HC,8,Skellefteå AIK,7,Axel OttossonJacob JohanssonGKOlle LycksellFilip KarlssonEddie LarssonAnton Mylläri,Philip BrobergPetter GranbergJoakim LindströmTom PyattRobin AlvarezGustaf LindvallGK,5,5,Axel Ottosson,Jacob JohanssonGK,Olle Lycksell,Filip Karlsson,Eddie Larsson,Anton Mylläri,Philip Broberg,Petter Granberg,Joakim Lindström,Tom Pyatt,Robin Alvarez,Gustaf LindvallGK
441922,2019-11-16,Brynäs IF,Skellefteå AIK,Adam Brodecki,Nicklas Danielsson,,5v5,EV,Brynäs IF,18,Skellefteå AIK,18,Adam BrodeckiJoacim ErikssonGKLinus ÖlundEric NorinAlexander LindelöfNicklas Danielsson,Philip BrobergPetter GranbergJoakim LindströmTom PyattRobin AlvarezGustaf LindvallGK,5,5,Adam Brodecki,Joacim ErikssonGK,Linus Ölund,Eric Norin,Alexander Lindelöf,Nicklas Danielsson,Philip Broberg,Petter Granberg,Joakim Lindström,Tom Pyatt,Robin Alvarez,Gustaf LindvallGK
441922,2019-11-16,Brynäs IF,Skellefteå AIK,Adam Brodecki,Nicklas Danielsson,Eric Norin,5v5,EV,Brynäs IF,18,Skellefteå AIK,18,Lukas KilströmAdam BrodeckiJoacim ErikssonGKLinus ÖlundEric NorinNicklas Danielsson,Philip BrobergPetter GranbergAdam PetterssonAndreas WingerliJesper FrödénGustaf LindvallGK,5,5,Lukas Kilström,Adam Brodecki,Joacim ErikssonGK,Linus Ölund,Eric Norin,Nicklas Danielsson,Philip Broberg,Petter Granberg,Adam Pettersson,Andreas Wingerli,Jesper Frödén,Gustaf LindvallGK
441955,2019-11-30,Skellefteå AIK,IF Malmö Redhawks,Johan Olofsson,Carl Persson,Adam Ollas Mattsson,5v5,EV,IF Malmö Redhawks,22,Skellefteå AIK,22,Johan OlofssonLinus CronholmChristoffer ForsbergLars VoldenGKAdam Ollas MattssonCarl Persson,Philip BrobergPetter GranbergPontus WiderströmPatrik NorénRobin AlvarezGustaf LindvallGK,5,5,Johan Olofsson,Linus Cronholm,Christoffer Forsberg,Lars VoldenGK,Adam Ollas Mattsson,Carl Persson,Philip Broberg,Petter Granberg,Pontus Widerström,Patrik Norén,Robin Alvarez,Gustaf LindvallGK
441970,2019-12-07,Skellefteå AIK,Leksands IF,Mattias Ritola,Daniel Gunnarsson,Mattias Karlsson,5v5,EV,Leksands IF,24,Skellefteå AIK,24,Daniel GunnarssonMattias KarlssonMattias RitolaPatrik ZackrissonJanne JuvonenGKSpencer Abbott,Philip BrobergPetter GranbergAdam PetterssonAndreas WingerliJesper FrödénGustaf LindvallGK,5,5,Daniel Gunnarsson,Mattias Karlsson,Mattias Ritola,Patrik Zackrisson,Janne JuvonenGK,Spencer Abbott,Philip Broberg,Petter Granberg,Adam Pettersson,Andreas Wingerli,Jesper Frödén,Gustaf LindvallGK
441974,2019-12-17,Luleå HF,Skellefteå AIK,Daniel Sondell,Arttu Ilomäki,Oscar Engsund,5v5,EV,Luleå HF,25,Skellefteå AIK,25,Isac BrännströmJoonas JalvantiJoel LassinanttiGKDaniel SondellKarl FabriciusArttu Ilomäki,Petter GranbergTom PyattAdam PetterssonPatrik NorénJesper FrödénGustaf LindvallGK,5,5,Isac Brännström,Joonas Jalvanti,Joel LassinanttiGK,Daniel Sondell,Karl Fabricius,Arttu Ilomäki,Petter Granberg,Tom Pyatt,Adam Pettersson,Patrik Norén,Jesper Frödén,Gustaf LindvallGK
442093,2020-01-11,HV 71,Skellefteå AIK,Simon Önerud,Johannes Kinnvall,Anthony Camara,5v5,EV,HV 71,32,Skellefteå AIK,32,Simon ÖnerudAxel HolmströmJohannes KinnvallAnthony CamaraHugo AlnefeltGKEric Martinsson,Niclas BurströmPetter GranbergJoakim LindströmTom PyattAdam PetterssonGustaf LindvallGK,5,5,Simon Önerud,Axel Holmström,Johannes Kinnvall,Anthony Camara,Hugo AlnefeltGK,Eric Martinsson,Niclas Burström,Petter Granberg,Joakim Lindström,Tom Pyatt,Adam Pettersson,Gustaf LindvallGK
