gameid,date,home_team,away_team,goal,primary_assist,secondary_assist,game_situation,game_situation_general,gf_team,gf_team_game_number,ga_team,ga_team_game_number,GF_names,GA_names,GF_skaters,GA_skaters,GF1_name,GF2_name,GF3_name,GF4_name,GF5_name,GF6_name,GA1_name,GA2_name,GA3_name,GA4_name,GA5_name,GA6_name
442107,2020-01-18,Frölunda HC,Färjestad BK,Sebastian Stålberg,,,5v5,EV,Frölunda HC,34,Färjestad BK,33,Karl StollerySebastian StålbergNicklas LasuJohan MattssonGKTheodor LennströmRhett Rakhshani,Lukas Ekeståhl-JonssonOskar BäckLinus ArnessonMichael LattaPontus WiderströmArvid HolmGK,5,5,Karl Stollery,Sebastian Stålberg,Nicklas Lasu,Johan MattssonGK,Theodor Lennström,Rhett Rakhshani,Lukas Ekeståhl-Jonsson,Oskar Bäck,Linus Arnesson,Michael Latta,Pontus Widerström,Arvid HolmGK
441814,2019-09-17,Örebro HK,Luleå HF,Mathias Bromé,Sakari Salminen,Ryan Stoa,5v5,EV,Örebro HK,2,Luleå HF,2,Rasmus RissanenSakari SalminenDominik FurchGKKristian NäkyväMathias BroméRyan Stoa,Isac BrännströmJuhani TyrväinenNils LundkvistErik GustafssonJoel LassinanttiGKArttu Ilomäki,5,5,Rasmus Rissanen,Sakari Salminen,Dominik FurchGK,Kristian Näkyvä,Mathias Bromé,Ryan Stoa,Isac Brännström,Juhani Tyrväinen,Nils Lundkvist,Erik Gustafsson,Joel LassinanttiGK,Arttu Ilomäki
442198,2019-10-12,Frölunda HC,Luleå HF,Samuel Fagemo,Jacob Moverare,Viktor Ekbom,5v5,EV,Frölunda HC,10,Luleå HF,10,Jacob MoverareViktor EkbomSamuel FagemoJoel LundqvistJohan MattssonGKRhett Rakhshani,Niklas OlaussonIsac BrännströmNils LundkvistErik GustafssonDavid RautioGKArttu Ilomäki,5,5,Jacob Moverare,Viktor Ekbom,Samuel Fagemo,Joel Lundqvist,Johan MattssonGK,Rhett Rakhshani,Niklas Olausson,Isac Brännström,Nils Lundkvist,Erik Gustafsson,David RautioGK,Arttu Ilomäki
441877,2019-10-17,Luleå HF,Leksands IF,Thomas Valkvae-Olsen,Mattias Ritola,August Berg,5v5,EV,Leksands IF,11,Luleå HF,11,August BergLucas NordsäterMattias RitolaThomas Valkvae-OlsenPatrik ZackrissonJanne JuvonenGK,Jonas BerglundIsac BrännströmJesper SellgrenJoel LassinanttiGKDaniel SondellArttu Ilomäki,5,5,August Berg,Lucas Nordsäter,Mattias Ritola,Thomas Valkvae-Olsen,Patrik Zackrisson,Janne JuvonenGK,Jonas Berglund,Isac Brännström,Jesper Sellgren,Joel LassinanttiGK,Daniel Sondell,Arttu Ilomäki
441880,2019-10-19,Färjestad BK,Luleå HF,Daniel Viksten,Jonathon Blum,,5v5,EV,Färjestad BK,12,Luleå HF,12,Daniel VikstenJonathon BlumCarl JakobssonAlbert JohanssonJohan RynoArvid HolmGK,Noel GunlerIsac BrännströmJesper SellgrenJoel LassinanttiGKDaniel SondellArttu Ilomäki,5,5,Daniel Viksten,Jonathon Blum,Carl Jakobsson,Albert Johansson,Johan Ryno,Arvid HolmGK,Noel Gunler,Isac Brännström,Jesper Sellgren,Joel LassinanttiGK,Daniel Sondell,Arttu Ilomäki
441914,2019-11-02,Växjö Lakers HC,Luleå HF,Pontus Holmberg,Martin Lundberg,Matthew Bodie,5v5,EV,Växjö Lakers HC,16,Luleå HF,16,Matthew BodieMarcus DavidssonMartin LundbergPontus HolmbergViktor AndrénGKDaniel Rahimi,Noel GunlerIsac BrännströmDavid RautioGKOscar EngsundPontus SjälinArttu Ilomäki,5,5,Matthew Bodie,Marcus Davidsson,Martin Lundberg,Pontus Holmberg,Viktor AndrénGK,Daniel Rahimi,Noel Gunler,Isac Brännström,David RautioGK,Oscar Engsund,Pontus Själin,Arttu Ilomäki
441967,2019-12-07,Luleå HF,Färjestad BK,Victor Ejdsell,Lukas Ekeståhl-Jonsson,Linus Johansson,5v5,EV,Färjestad BK,24,Luleå HF,24,Victor EjdsellLukas Ekeståhl-JonssonPer ÅslundLinus JohanssonVojtech MozikArvid HolmGK,Noel GunlerIsac BrännströmJoonas JalvantiOscar EngsundJoel LassinanttiGKArttu Ilomäki,5,5,Victor Ejdsell,Lukas Ekeståhl-Jonsson,Per Åslund,Linus Johansson,Vojtech Mozik,Arvid HolmGK,Noel Gunler,Isac Brännström,Joonas Jalvanti,Oscar Engsund,Joel LassinanttiGK,Arttu Ilomäki
442002,2019-12-26,Luleå HF,Frölunda HC,Johan Sundström,Patrik Carlsson,,5v5,EV,Frölunda HC,27,Luleå HF,27,Anders GrönlundJohan SundströmJohan MattssonGKBrandon GormleyRhett RakhshaniPatrik Carlsson,Albin Thyni JohanssonJoonas JalvantiVictor EdströmDavid RautioGKKarl FabriciusArttu Ilomäki,5,5,Anders Grönlund,Johan Sundström,Johan MattssonGK,Brandon Gormley,Rhett Rakhshani,Patrik Carlsson,Albin Thyni Johansson,Joonas Jalvanti,Victor Edström,David RautioGK,Karl Fabricius,Arttu Ilomäki
441993,2019-12-28,Färjestad BK,Luleå HF,Gustav Rydahl,Marcus Nilsson,Jonathon Blum,5v5,EV,Färjestad BK,27,Luleå HF,28,Marcus NilssonGustav RydahlPer ÅslundJonathon BlumAlbert JohanssonMarkus SvenssonGK,Albin Thyni JohanssonNoel GunlerIsac BrännströmOscar EngsundJoel LassinanttiGKArttu Ilomäki,5,5,Marcus Nilsson,Gustav Rydahl,Per Åslund,Jonathon Blum,Albert Johansson,Markus SvenssonGK,Albin Thyni Johansson,Noel Gunler,Isac Brännström,Oscar Engsund,Joel LassinanttiGK,Arttu Ilomäki
442088,2020-01-09,IK Oskarshamn,Luleå HF,Henrik Nilsson,Simon Despres,John Dahlström,5v5,EV,IK Oskarshamn,31,Luleå HF,31,Simon DespresJohn DahlströmHenrik NilssonMarkus ModigsRobin SöderqvistTex WilliamssonGK,Isac BrännströmJuhani TyrväinenNils LundkvistDavid RautioGKOscar EngsundArttu Ilomäki,5,5,Simon Despres,John Dahlström,Henrik Nilsson,Markus Modigs,Robin Söderqvist,Tex WilliamssonGK,Isac Brännström,Juhani Tyrväinen,Nils Lundkvist,David RautioGK,Oscar Engsund,Arttu Ilomäki
442088,2020-01-09,IK Oskarshamn,Luleå HF,Filiph Engsund,Mathew Bodie,Simon Despres,5v5,EV,IK Oskarshamn,31,Luleå HF,31,Mathew BodieSimon DespresTyler KelleherJohannes SalmonssonFiliph EngsundTex WilliamssonGK,Jonas BerglundIsac BrännströmJesper SellgrenNils LundkvistDavid RautioGKArttu Ilomäki,5,5,Mathew Bodie,Simon Despres,Tyler Kelleher,Johannes Salmonsson,Filiph Engsund,Tex WilliamssonGK,Jonas Berglund,Isac Brännström,Jesper Sellgren,Nils Lundkvist,David RautioGK,Arttu Ilomäki
442088,2020-01-09,IK Oskarshamn,Luleå HF,Johannes Salmonsson,Tyler Kelleher,,5v5,EV,IK Oskarshamn,31,Luleå HF,31,Tyler KelleherJohannes SalmonssonFiliph EngsundNichlas TorpEmil WahlbergTex WilliamssonGK,Jonas BerglundIsac BrännströmJoonas JalvantiDavid RautioGKDaniel SondellArttu Ilomäki,5,5,Tyler Kelleher,Johannes Salmonsson,Filiph Engsund,Nichlas Torp,Emil Wahlberg,Tex WilliamssonGK,Jonas Berglund,Isac Brännström,Joonas Jalvanti,David RautioGK,Daniel Sondell,Arttu Ilomäki
442095,2020-01-11,Luleå HF,Djurgårdens IF,Olle Alsing,Jacob Josefson,,5v5,EV,Djurgårdens IF,32,Luleå HF,32,Niclas BergforsSebastian StrandbergLinus HultströmOlle AlsingDaniel WidingNiklas SvedbergGK,Isac BrännströmJesper SellgrenErik GustafssonJoel LassinanttiGKPontus SjälinArttu Ilomäki,5,5,Niclas Bergfors,Sebastian Strandberg,Linus Hultström,Olle Alsing,Daniel Widing,Niklas SvedbergGK,Isac Brännström,Jesper Sellgren,Erik Gustafsson,Joel LassinanttiGK,Pontus Själin,Arttu Ilomäki
441885,2019-10-19,Leksands IF,Djurgårdens IF,Michael Haga,Tom Nilsson,Mattias Guter,5v5,EV,Djurgårdens IF,12,Leksands IF,12,Simon JohanssonTom NilssonMattias GuterManuel ÅgrenMichael HagaNiklas SvedbergGK,August BergOskar LangMarek HrivikMattias GöranssonJanne JuvonenGKSpencer Abbott,5,5,Simon Johansson,Tom Nilsson,Mattias Guter,Manuel Ågren,Michael Haga,Niklas SvedbergGK,August Berg,Oskar Lang,Marek Hrivik,Mattias Göransson,Janne JuvonenGK,Spencer Abbott
441893,2019-10-24,Leksands IF,Örebro HK,Ryan Stoa,Jonathan Andersson,Lukas Pilö,5v5,EV,Örebro HK,13,Leksands IF,13,Lukas PilöJonathan AnderssonSakari SalminenDominik FurchGKMathias BroméRyan Stoa,Calle SjälinJohan FranssonOskar LangMarek HrivikJanne JuvonenGKSpencer Abbott,5,5,Lukas Pilö,Jonathan Andersson,Sakari Salminen,Dominik FurchGK,Mathias Bromé,Ryan Stoa,Calle Själin,Johan Fransson,Oskar Lang,Marek Hrivik,Janne JuvonenGK,Spencer Abbott
441893,2019-10-24,Leksands IF,Örebro HK,Ryan Stoa,Mathias Bromé,,5v6ENG,ENG,Örebro HK,13,Leksands IF,13,Gustav BackströmLinus ÖbergJonathan AnderssonDominik FurchGKMathias BroméRyan Stoa,Lucas NordsäterJohan FranssonMattias RitolaSebastian WännströmMarek HrivikSpencer Abbott,5,6,Gustav Backström,Linus Öberg,Jonathan Andersson,Dominik FurchGK,Mathias Bromé,Ryan Stoa,Lucas Nordsäter,Johan Fransson,Mattias Ritola,Sebastian Wännström,Marek Hrivik,Spencer Abbott
441919,2019-11-14,Linköping HC,Leksands IF,Adam Helewka,Olle Lycksell,Max Lindroth,5v5,EV,Linköping HC,17,Leksands IF,17,Jonas HolösHenrik TörnqvistHampus LarssonOlle LycksellAdam HelewkaJonas GustavssonGK,Lucas NordsäterDaniel Olsson-TrkuljaMarek HrivikAxel BrageGKPhilip SamuelssonSpencer Abbott,5,5,Jonas Holös,Henrik Törnqvist,Hampus Larsson,Olle Lycksell,Adam Helewka,Jonas GustavssonGK,Lucas Nordsäter,Daniel Olsson-Trkulja,Marek Hrivik,Axel BrageGK,Philip Samuelsson,Spencer Abbott
441927,2019-11-16,Leksands IF,HV 71,Joakim Andersson,Christoffer Törngren,,4v5,SH,HV 71,18,Leksands IF,18,Markus LauridsenEmil JohanssonJoakim AnderssonJonas GunnarssonGKChristoffer TörngrenNA,Daniel Olsson-TrkuljaMattias KarlssonPatrik ZackrissonMarek HrivikJanne JuvonenGKSpencer Abbott,4,5,Markus Lauridsen,Emil Johansson,Joakim Andersson,Jonas GunnarssonGK,Christoffer Törngren,NA,Daniel Olsson-Trkulja,Mattias Karlsson,Patrik Zackrisson,Marek Hrivik,Janne JuvonenGK,Spencer Abbott
441942,2019-11-23,Leksands IF,Luleå HF,Erik Gustafsson,Nils Lundkvist,Juhani Tyrväinen,5v5,EV,Luleå HF,20,Leksands IF,20,Einar EmanuelssonJuhani TyrväinenNils LundkvistErik GustafssonDavid RautioGKRobin Kovacs,Filip JohanssonOskar LangMarek HrivikAxel BrageGKPhilip SamuelssonSpencer Abbott,5,5,Einar Emanuelsson,Juhani Tyrväinen,Nils Lundkvist,Erik Gustafsson,David RautioGK,Robin Kovacs,Filip Johansson,Oskar Lang,Marek Hrivik,Axel BrageGK,Philip Samuelsson,Spencer Abbott
441942,2019-11-23,Leksands IF,Luleå HF,Niklas Olausson,Isac Brännström,,5v5,EV,Luleå HF,20,Leksands IF,20,Niklas OlaussonIsac BrännströmNils LundkvistErik GustafssonDavid RautioGKKarl Fabricius,Johan FranssonOskar LangLinus PerssonAxel BrageGKPhilip SamuelssonSpencer Abbott,5,5,Niklas Olausson,Isac Brännström,Nils Lundkvist,Erik Gustafsson,David RautioGK,Karl Fabricius,Johan Fransson,Oskar Lang,Linus Persson,Axel BrageGK,Philip Samuelsson,Spencer Abbott
441984,2019-12-19,Leksands IF,Färjestad BK,Michael Lindqvist,Gustav Rydahl,Marcus Nilsson,5v5,EV,Färjestad BK,25,Leksands IF,26,Marcus NilssonGustav RydahlJonathon BlumAlbert JohanssonMichael LindqvistMarkus SvenssonGK,Mattias KarlssonMattias RitolaPatrik ZackrissonMattias GöranssonAxel BrageGKSpencer Abbott,5,5,Marcus Nilsson,Gustav Rydahl,Jonathon Blum,Albert Johansson,Michael Lindqvist,Markus SvenssonGK,Mattias Karlsson,Mattias Ritola,Patrik Zackrisson,Mattias Göransson,Axel BrageGK,Spencer Abbott
442011,2020-01-04,Leksands IF,Skellefteå AIK,Petter Granberg,,,4v6ENG,ENG,Skellefteå AIK,30,Leksands IF,30,Niclas BurströmPetter GranbergTuomas KiiskinenGustaf LindvallGKOscar MöllerNA,Jon KnutsDaniel GunnarssonMattias KarlssonMattias RitolaMarek HrivikSpencer Abbott,4,6,Niclas Burström,Petter Granberg,Tuomas Kiiskinen,Gustaf LindvallGK,Oscar Möller,NA,Jon Knuts,Daniel Gunnarsson,Mattias Karlsson,Mattias Ritola,Marek Hrivik,Spencer Abbott
