date,homeTeam,awayTeam,combinedTeams,Venue
12/26/18,Färjestad BK,Växjö Lakers HC,Färjestad BK-Växjö Lakers HC,Löfbergs Arena
12/26/18,Timrå IK,Brynäs IF,Timrå IK-Brynäs IF,NHK Arena
12/26/18,IF Malmö Redhawks,Linköping HC,IF Malmö Redhawks-Linköping HC,Malmö Arena
12/26/18,Frölunda HC,Luleå HF,Frölunda HC-Luleå HF,Scandinavium
12/26/18,Mora IK,Skellefteå AIK,Mora IK-Skellefteå AIK,Jalas Arena
12/26/18,Örebro HK,Rögle BK,Örebro HK-Rögle BK,Behrn Arena
12/28/18,Luleå HF,Timrå IK,Luleå HF-Timrå IK,Coop Norrbotten Arena
12/28/18,Skellefteå AIK,Frölunda HC,Skellefteå AIK-Frölunda HC,Skellefteå Kraft Arena
12/28/18,Brynäs IF,Örebro HK,Brynäs IF-Örebro HK,Gavlerinken Arena
12/28/18,Rögle BK,Djurgårdens IF,Rögle BK-Djurgårdens IF,Lindab Arena
12/28/18,Växjö Lakers HC,Mora IK,Växjö Lakers HC-Mora IK,Vida Arena
12/28/18,Linköping HC,Färjestad BK,Linköping HC-Färjestad BK,Saab Arena
12/28/18,HV 71,IF Malmö Redhawks,HV 71-IF Malmö Redhawks,Kinnarps Arena
12/30/18,Mora IK,Luleå HF,Mora IK-Luleå HF,Jalas Arena
12/30/18,Örebro HK,HV 71,Örebro HK-HV 71,Behrn Arena
12/30/18,Djurgårdens IF,Växjö Lakers HC,Djurgårdens IF-Växjö Lakers HC,"Hovet, Johanneshov"
12/30/18,Färjestad BK,Brynäs IF,Färjestad BK-Brynäs IF,Löfbergs Arena
12/30/18,Timrå IK,Linköping HC,Timrå IK-Linköping HC,NHK Arena
12/30/18,IF Malmö Redhawks,Skellefteå AIK,IF Malmö Redhawks-Skellefteå AIK,Malmö Arena
12/30/18,Frölunda HC,Rögle BK,Frölunda HC-Rögle BK,Scandinavium
1/5/19,Luleå HF,Växjö Lakers HC,Luleå HF-Växjö Lakers HC,Coop Norrbotten Arena
1/5/19,IF Malmö Redhawks,Örebro HK,IF Malmö Redhawks-Örebro HK,Malmö Arena
1/5/19,Frölunda HC,Timrå IK,Frölunda HC-Timrå IK,Scandinavium
1/5/19,Linköping HC,HV 71,Linköping HC-HV 71,Saab Arena
1/5/19,Skellefteå AIK,Färjestad BK,Skellefteå AIK-Färjestad BK,Skellefteå Kraft Arena
1/5/19,Mora IK,Djurgårdens IF,Mora IK-Djurgårdens IF,Jalas Arena
1/5/19,Brynäs IF,Rögle BK,Brynäs IF-Rögle BK,Gavlerinken Arena
1/10/19,Skellefteå AIK,Djurgårdens IF,Skellefteå AIK-Djurgårdens IF,Skellefteå Kraft Arena
1/10/19,Brynäs IF,Frölunda HC,Brynäs IF-Frölunda HC,Gavlerinken Arena
1/10/19,Rögle BK,IF Malmö Redhawks,Rögle BK-IF Malmö Redhawks,Lindab Arena
1/10/19,Växjö Lakers HC,Timrå IK,Växjö Lakers HC-Timrå IK,Vida Arena
1/10/19,Linköping HC,Mora IK,Linköping HC-Mora IK,Saab Arena
1/10/19,HV 71,Färjestad BK,HV 71-Färjestad BK,Kinnarps Arena
1/10/19,Luleå HF,Örebro HK,Luleå HF-Örebro HK,Coop Norrbotten Arena
1/12/19,Örebro HK,Luleå HF,Örebro HK-Luleå HF,Behrn Arena
1/12/19,Djurgårdens IF,Linköping HC,Djurgårdens IF-Linköping HC,"Hovet, Johanneshov"
1/12/19,Rögle BK,HV 71,Rögle BK-HV 71,Lindab Arena
1/12/19,Växjö Lakers HC,Brynäs IF,Växjö Lakers HC-Brynäs IF,Vida Arena
1/12/19,Mora IK,Frölunda HC,Mora IK-Frölunda HC,Jalas Arena
1/12/19,Färjestad BK,IF Malmö Redhawks,Färjestad BK-IF Malmö Redhawks,Löfbergs Arena
1/12/19,Timrå IK,Skellefteå AIK,Timrå IK-Skellefteå AIK,NHK Arena
1/17/19,Skellefteå AIK,Växjö Lakers HC,Skellefteå AIK-Växjö Lakers HC,Skellefteå Kraft Arena
