date,homeTeam,awayTeam,combinedTeams,Venue
10/4/18,Linköping HC,Mora IK,Linköping HC-Mora IK,Saab Arena
10/4/18,Luleå HF,Färjestad BK,Luleå HF-Färjestad BK,Coop Norrbotten Arena
10/4/18,Brynäs IF,Timrå IK,Brynäs IF-Timrå IK,Gavlerinken Arena
10/4/18,Rögle BK,IF Malmö Redhawks,Rögle BK-IF Malmö Redhawks,Lindab Arena
10/4/18,HV 71,Djurgårdens IF,HV 71-Djurgårdens IF,Kinnarps Arena
10/4/18,Växjö Lakers HC,Frölunda HC,Växjö Lakers HC-Frölunda HC,Vida Arena
10/6/18,Örebro HK,IF Malmö Redhawks,Örebro HK-IF Malmö Redhawks,Behrn Arena
10/6/18,Timrå IK,Mora IK,Timrå IK-Mora IK,NHK Arena
10/6/18,Färjestad BK,Linköping HC,Färjestad BK-Linköping HC,Löfbergs Arena
10/6/18,Djurgårdens IF,Luleå HF,Djurgårdens IF-Luleå HF,"Hovet, Johanneshov"
10/6/18,HV 71,Rögle BK,HV 71-Rögle BK,Kinnarps Arena
10/6/18,Brynäs IF,Skellefteå AIK,Brynäs IF-Skellefteå AIK,Gavlerinken Arena
10/11/18,Växjö Lakers HC,IF Malmö Redhawks,Växjö Lakers HC-IF Malmö Redhawks,Vida Arena
10/11/18,Luleå HF,Frölunda HC,Luleå HF-Frölunda HC,Coop Norrbotten Arena
10/11/18,Mora IK,Färjestad BK,Mora IK-Färjestad BK,Jalas Arena
10/11/18,Rögle BK,Örebro HK,Rögle BK-Örebro HK,Lindab Arena
